epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,513.5,1.29877,1.86066,0.93892,0.66261,0.37439,0.3917,0.29554,1.31306,2.27143,0.99802,0.0004588,0.0004588,0.0004588
84,519.596,1.23433,1.79892,0.93733,0.60478,0.36821,0.37902,0.28369,1.39574,2.32724,1.01459,0.0004522,0.0004522,0.0004522
85,525.471,1.18743,1.7346,0.93812,0.48989,0.38773,0.36898,0.26503,1.3719,2.28831,0.99863,0.0004456,0.0004456,0.0004456
86,531.576,1.19839,1.77172,0.93294,0.57431,0.39117,0.39213,0.28992,1.40573,2.37528,1.01168,0.000439,0.000439,0.000439
87,537.598,1.33344,1.97464,0.95978,0.52117,0.39644,0.38852,0.30102,1.23949,2.24666,0.96894,0.0004324,0.0004324,0.0004324
88,543.701,1.29378,1.89281,0.96823,0.47421,0.43631,0.40426,0.31383,1.23355,2.16358,0.98316,0.0004258,0.0004258,0.0004258
89,550.003,1.29313,1.86617,0.93759,0.55837,0.41115,0.39942,0.30949,1.27548,2.14165,0.97809,0.0004192,0.0004192,0.0004192
90,556.091,1.26491,1.80047,0.93893,0.57144,0.40521,0.39943,0.28981,1.42186,2.17966,1.02264,0.0004126,0.0004126,0.0004126
91,562.252,1.29929,1.81525,0.95967,0.58698,0.40227,0.40884,0.28482,1.48689,2.27193,1.03449,0.000406,0.000406,0.000406
92,568.312,1.30359,1.95351,0.94563,0.6193,0.37909,0.39973,0.29969,1.28203,2.14305,0.97459,0.0003994,0.0003994,0.0003994
93,574.421,1.20491,1.6877,0.92644,0.60286,0.38972,0.41249,0.30683,1.30015,2.1445,0.98081,0.0003928,0.0003928,0.0003928
94,580.387,1.1711,1.65438,0.92129,0.61871,0.39881,0.41098,0.29752,1.32423,2.18079,0.98816,0.0003862,0.0003862,0.0003862
95,586.267,1.16531,1.62581,0.93186,0.66457,0.3946,0.43221,0.31428,1.35083,2.17514,0.99392,0.0003796,0.0003796,0.0003796
96,592.521,1.2176,1.68474,0.93234,0.62215,0.421,0.4337,0.32419,1.23762,2.11619,0.98013,0.000373,0.000373,0.000373
97,598.689,1.19133,1.69692,0.92275,0.60458,0.41264,0.42571,0.33273,1.16861,2.13715,0.94995,0.0003664,0.0003664,0.0003664
98,604.951,1.20281,1.73962,0.93513,0.69924,0.38826,0.42765,0.32236,1.21971,2.10953,0.95727,0.0003598,0.0003598,0.0003598
99,611.033,1.2156,1.68584,0.92245,0.64638,0.39441,0.43059,0.32136,1.30399,2.08083,0.97222,0.0003532,0.0003532,0.0003532
100,617.199,1.16069,1.58729,0.91147,0.67447,0.37976,0.42564,0.31939,1.29237,2.1982,0.98323,0.0003466,0.0003466,0.0003466
101,623.215,1.11068,1.54427,0.90326,0.63946,0.38802,0.41691,0.32283,1.19004,2.14801,0.96885,0.00034,0.00034,0.00034
102,629.292,1.16035,1.59477,0.91905,0.65075,0.40187,0.41711,0.32614,1.15432,2.08435,0.94846,0.0003334,0.0003334,0.0003334
103,635.623,1.14045,1.55129,0.90351,0.69539,0.39765,0.42703,0.33123,1.16645,2.12706,0.95922,0.0003268,0.0003268,0.0003268
104,641.575,1.21788,1.64244,0.92628,0.65384,0.39708,0.43413,0.3273,1.31897,2.09085,1.00205,0.0003202,0.0003202,0.0003202
105,647.659,1.15868,1.582,0.91904,0.68481,0.41691,0.43895,0.31662,1.36434,2.06594,0.98338,0.0003136,0.0003136,0.0003136
106,653.72,1.17747,1.58911,0.92673,0.59857,0.46821,0.45298,0.33509,1.26677,2.07065,0.96985,0.000307,0.000307,0.000307
107,659.823,1.17808,1.55755,0.91477,0.59445,0.44605,0.44387,0.30339,1.40167,2.19427,0.99771,0.0003004,0.0003004,0.0003004
108,665.994,1.25779,1.71328,0.93816,0.62455,0.45054,0.4469,0.33379,1.22975,2.0787,0.97753,0.0002938,0.0002938,0.0002938
109,672.031,1.15629,1.45888,0.91826,0.67712,0.43234,0.4553,0.34086,1.27301,2.04687,0.97537,0.0002872,0.0002872,0.0002872
110,677.833,1.18471,1.5557,0.91079,0.66082,0.45717,0.45777,0.3421,1.24921,2.05314,0.96678,0.0002806,0.0002806,0.0002806
111,683.904,1.11038,1.48403,0.90544,0.71287,0.43964,0.45955,0.3477,1.18373,2.06407,0.95521,0.000274,0.000274,0.000274
112,689.805,1.15269,1.56023,0.92168,0.70187,0.44851,0.4642,0.35965,1.1608,1.99865,0.94486,0.0002674,0.0002674,0.0002674
113,695.786,1.17181,1.54562,0.92328,0.6178,0.46962,0.45864,0.3535,1.10403,1.98905,0.93173,0.0002608,0.0002608,0.0002608
114,701.631,1.13898,1.51972,0.91667,0.63014,0.44924,0.46805,0.34966,1.17963,1.96569,0.94672,0.0002542,0.0002542,0.0002542
115,707.563,1.14005,1.46194,0.91107,0.62928,0.47474,0.46709,0.35603,1.11575,1.98546,0.93337,0.0002476,0.0002476,0.0002476
116,713.421,1.11156,1.46323,0.90314,0.63452,0.47373,0.46797,0.35909,1.10429,1.99965,0.93189,0.000241,0.000241,0.000241
117,719.322,1.0926,1.43181,0.896,0.66637,0.47406,0.4817,0.36185,1.14108,1.93698,0.93412,0.0002344,0.0002344,0.0002344
118,725.428,1.15705,1.49886,0.91489,0.71207,0.44475,0.47481,0.36592,1.10822,1.94737,0.93595,0.0002278,0.0002278,0.0002278
119,731.199,1.11491,1.45565,0.91432,0.68618,0.45107,0.47556,0.35979,1.15371,1.96753,0.94082,0.0002212,0.0002212,0.0002212
120,736.859,1.12207,1.46942,0.91966,0.66263,0.46227,0.4802,0.35998,1.18044,1.9744,0.9478,0.0002146,0.0002146,0.0002146
121,742.641,1.17574,1.5422,0.91419,0.68584,0.45021,0.47039,0.36518,1.08449,1.9426,0.92952,0.000208,0.000208,0.000208
122,748.462,1.0987,1.42748,0.90638,0.69787,0.4732,0.48057,0.36658,1.11294,1.92818,0.93878,0.0002014,0.0002014,0.0002014
123,754.267,1.13376,1.49812,0.91604,0.66712,0.47113,0.47784,0.37185,1.08961,1.95965,0.93539,0.0001948,0.0001948,0.0001948
124,760.344,1.13743,1.46646,0.90179,0.65395,0.47997,0.4803,0.36921,1.12485,1.94922,0.95178,0.0001882,0.0001882,0.0001882
125,766.181,1.08949,1.38095,0.90057,0.6608,0.48586,0.48902,0.37761,1.11997,1.9226,0.94213,0.0001816,0.0001816,0.0001816
126,772.088,1.13881,1.47441,0.90251,0.64685,0.48944,0.48087,0.36702,1.13265,1.93995,0.94285,0.000175,0.000175,0.000175
127,777.955,1.07405,1.3977,0.89266,0.66853,0.47365,0.48584,0.37579,1.0859,1.93257,0.93239,0.0001684,0.0001684,0.0001684
128,783.864,1.13125,1.40472,0.88998,0.69115,0.45824,0.48766,0.3729,1.12766,1.9489,0.93055,0.0001618,0.0001618,0.0001618
129,789.416,1.12583,1.45303,0.90767,0.65043,0.48445,0.48679,0.37095,1.13257,1.93389,0.93677,0.0001552,0.0001552,0.0001552
130,795.225,1.1393,1.41887,0.92135,0.68431,0.46801,0.4847,0.3696,1.1337,1.95122,0.94022,0.0001486,0.0001486,0.0001486
131,801.148,1.12667,1.36647,0.9052,0.671,0.47254,0.48313,0.36603,1.1449,1.93437,0.93945,0.000142,0.000142,0.000142
132,807.221,1.08444,1.37413,0.89968,0.65739,0.47567,0.48498,0.36444,1.14424,1.93391,0.94116,0.0001354,0.0001354,0.0001354
133,812.961,1.12573,1.43544,0.90243,0.68453,0.48719,0.49025,0.36645,1.19575,1.94121,0.96015,0.0001288,0.0001288,0.0001288
134,818.792,1.18408,1.46569,0.92088,0.71555,0.47431,0.49499,0.37534,1.15614,1.93229,0.94721,0.0001222,0.0001222,0.0001222
135,824.575,1.11276,1.41431,0.89495,0.65008,0.512,0.50127,0.3846,1.08941,1.9083,0.9279,0.0001156,0.0001156,0.0001156
136,830.786,1.08626,1.31365,0.89336,0.71944,0.4805,0.50118,0.38226,1.13186,1.92775,0.93365,0.000109,0.000109,0.000109
137,836.535,1.10368,1.38808,0.905,0.62816,0.51202,0.49791,0.38177,1.10437,1.913,0.92913,0.0001024,0.0001024,0.0001024
138,842.424,1.03768,1.24275,0.8914,0.65576,0.51032,0.50264,0.38902,1.10307,1.89807,0.92872,9.58e-05,9.58e-05,9.58e-05
